PoidsSpec,NoEssai,NoBloc,NoTraitement,ID,ID_bl,DensitePlants,PrecCropFiveClasses,Cultivar,Maturity5,growing.season,temp_moy_5years,prec_tot_5years,sdi_5years,gdd_5years,NtotDose,PtotDose,KtotDose,soilTextIlr1,soilTextIlr2,soilTextIlr3,soilTypeIlr1_3,soilTypeIlr2_3,soil_pH,soil_P1_Fv.AlP,soil_P1_Al.P,soil_K2_FvMgCa.K,soil_K2_Fv.MgCa,soil_K2_Mg.Ca,soil_P,soil_K,soil_Al,ISP1,test_type
1.077,1,2,3,1-2-3,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,100,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
1.083,1,2,4,1-2-4,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,130,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
1.077,1,2,5,1-2-5,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,160,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
1.067,1,2,6,1-2-6,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,190,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
1.077,1,2,7,1-2-7,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,220,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
1.076,1,2,8,1-2-8,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,250,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
1.07,1,3,1,1-3-1,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,0,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
1.077,1,3,2,1-3-2,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,70,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
1.069,1,3,3,1-3-3,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,100,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
1.067,1,3,4,1-3-4,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,130,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
1.076,1,3,5,1-3-5,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,160,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
1.073,1,3,6,1-3-6,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,190,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
1.068,1,3,7,1-3-7,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,220,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
1.07,1,3,8,1-3-8,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,250,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
1.07987341,4,1,1,4-1-1,4-1,47517,Grassland,Bijou Rouge,early,112,16.509278017749157,334.52,-0.6915316232752715,1679.8400000000001,0,180,160,1.7507835211882765,2.2464805433464146,0.35732305069991566,2.27078195024487,0.7398698250992473,5.523,-6.762913936873656,2.5018877508310364,-3.2201885637311616,-7.233670875998589,1.9005561593740141,43.03611924,66.03877419,1480.660179,2.906549379146908,N
1.083556707,4,1,2,4-1-2,4-1,47517,Grassland,Bijou Rouge,early,112,16.509278017749157,334.52,-0.6915316232752715,1679.8400000000001,35,180,160,1.7507835211882765,2.2464805433464146,0.35732305069991566,2.27078195024487,0.7398698250992473,5.523,-6.762913936873656,2.5018877508310364,-3.2201885637311616,-7.233670875998589,1.9005561593740141,43.03611924,66.03877419,1480.660179,2.906549379146908,N
1.082838289,4,1,3,4-1-3,4-1,47517,Grassland,Bijou Rouge,early,112,16.509278017749157,334.52,-0.6915316232752715,1679.8400000000001,70,180,160,1.7507835211882765,2.2464805433464146,0.35732305069991566,2.27078195024487,0.7398698250992473,5.523,-6.762913936873656,2.5018877508310364,-3.2201885637311616,-7.233670875998589,1.9005561593740141,43.03611924,66.03877419,1480.660179,2.906549379146908,N
1.086923386,4,1,4,4-1-4,4-1,47517,Grassland,Bijou Rouge,early,112,16.509278017749157,334.52,-0.6915316232752715,1679.8400000000001,105,180,160,1.7507835211882765,2.2464805433464146,0.35732305069991566,2.27078195024487,0.7398698250992473,5.523,-6.762913936873656,2.5018877508310364,-3.2201885637311616,-7.233670875998589,1.9005561593740141,43.03611924,66.03877419,1480.660179,2.906549379146908,N
1.08028138,4,1,5,4-1-5,4-1,47517,Grassland,Bijou Rouge,early,112,16.509278017749157,334.52,-0.6915316232752715,1679.8400000000001,140,180,160,1.7507835211882765,2.2464805433464146,0.35732305069991566,2.27078195024487,0.7398698250992473,5.523,-6.762913936873656,2.5018877508310364,-3.2201885637311616,-7.233670875998589,1.9005561593740141,43.03611924,66.03877419,1480.660179,2.906549379146908,N
1.075557108,4,1,6,4-1-6,4-1,47517,Grassland,Bijou Rouge,early,112,16.509278017749157,334.52,-0.6915316232752715,1679.8400000000001,175,180,160,1.7507835211882765,2.2464805433464146,0.35732305069991566,2.27078195024487,0.7398698250992473,5.523,-6.762913936873656,2.5018877508310364,-3.2201885637311616,-7.233670875998589,1.9005561593740141,43.03611924,66.03877419,1480.660179,2.906549379146908,N
1.088889601,6,1,1,6-1-1,6-1,49677,Grassland,Prospect,mid-season,114,16.472651368403966,335.36,-0.6901502390247815,1697.46,0,180,160,1.5277149379051502,2.304160342340807,0.3596567385646531,0.15678828600072048,0.12460594158082057,5.317,-6.2284542081036784,1.6532982419876865,-2.910844301107272,-7.3091477841293475,2.0209330535383283,150.8776304,88.74815939,1563.349494,9.650921369729241,N
1.090341257,6,1,2,6-1-2,6-1,49677,Grassland,Prospect,mid-season,114,16.472651368403966,335.36,-0.6901502390247815,1697.46,35,180,160,1.5277149379051502,2.304160342340807,0.3596567385646531,0.15678828600072048,0.12460594158082057,5.317,-6.2284542081036784,1.6532982419876865,-2.910844301107272,-7.3091477841293475,2.0209330535383283,150.8776304,88.74815939,1563.349494,9.650921369729241,N
1.090038443,6,1,3,6-1-3,6-1,49677,Grassland,Prospect,mid-season,114,16.472651368403966,335.36,-0.6901502390247815,1697.46,70,180,160,1.5277149379051502,2.304160342340807,0.3596567385646531,0.15678828600072048,0.12460594158082057,5.317,-6.2284542081036784,1.6532982419876865,-2.910844301107272,-7.3091477841293475,2.0209330535383283,150.8776304,88.74815939,1563.349494,9.650921369729241,N
1.078024482,6,1,4,6-1-4,6-1,49677,Grassland,Prospect,mid-season,114,16.472651368403966,335.36,-0.6901502390247815,1697.46,105,180,160,1.5277149379051502,2.304160342340807,0.3596567385646531,0.15678828600072048,0.12460594158082057,5.317,-6.2284542081036784,1.6532982419876865,-2.910844301107272,-7.3091477841293475,2.0209330535383283,150.8776304,88.74815939,1563.349494,9.650921369729241,N
1.07849759,6,1,5,6-1-5,6-1,49677,Grassland,Prospect,mid-season,114,16.472651368403966,335.36,-0.6901502390247815,1697.46,140,180,160,1.5277149379051502,2.304160342340807,0.3596567385646531,0.15678828600072048,0.12460594158082057,5.317,-6.2284542081036784,1.6532982419876865,-2.910844301107272,-7.3091477841293475,2.0209330535383283,150.8776304,88.74815939,1563.349494,9.650921369729241,N
1.080595025,6,1,6,6-1-6,6-1,49677,Grassland,Prospect,mid-season,114,16.472651368403966,335.36,-0.6901502390247815,1697.46,175,180,160,1.5277149379051502,2.304160342340807,0.3596567385646531,0.15678828600072048,0.12460594158082057,5.317,-6.2284542081036784,1.6532982419876865,-2.910844301107272,-7.3091477841293475,2.0209330535383283,150.8776304,88.74815939,1563.349494,9.650921369729241,N
1.078800099,7,1,1,7-1-1,7-1,47517,Grassland,Yukon Gold,mid-season,100,16.967478546295613,282.52,-0.6813466881762071,1544.74,0,180,160,1.6938385433375898,2.166685406300104,0.00878404813040512,2.27078195024487,0.7398698250992473,5.42,-6.888174092840588,2.964491618782524,-3.1033408226800785,-7.379053546790937,1.7924898652986454,26.60909988,67.12701236,1761.07115,1.5109610920603633,N
1.083303559,7,1,2,7-1-2,7-1,47517,Grassland,Yukon Gold,mid-season,100,16.967478546295613,282.52,-0.6813466881762071,1544.74,35,180,160,1.6938385433375898,2.166685406300104,0.00878404813040512,2.27078195024487,0.7398698250992473,5.42,-6.888174092840588,2.964491618782524,-3.1033408226800785,-7.379053546790937,1.7924898652986454,26.60909988,67.12701236,1761.07115,1.5109610920603633,N
1.081923684,7,1,3,7-1-3,7-1,47517,Grassland,Yukon Gold,mid-season,100,16.967478546295613,282.52,-0.6813466881762071,1544.74,70,180,160,1.6938385433375898,2.166685406300104,0.00878404813040512,2.27078195024487,0.7398698250992473,5.42,-6.888174092840588,2.964491618782524,-3.1033408226800785,-7.379053546790937,1.7924898652986454,26.60909988,67.12701236,1761.07115,1.5109610920603633,N
1.081352732,7,1,4,7-1-4,7-1,47517,Grassland,Yukon Gold,mid-season,100,16.967478546295613,282.52,-0.6813466881762071,1544.74,105,180,160,1.6938385433375898,2.166685406300104,0.00878404813040512,2.27078195024487,0.7398698250992473,5.42,-6.888174092840588,2.964491618782524,-3.1033408226800785,-7.379053546790937,1.7924898652986454,26.60909988,67.12701236,1761.07115,1.5109610920603633,N
1.075400465,7,1,5,7-1-5,7-1,47517,Grassland,Yukon Gold,mid-season,100,16.967478546295613,282.52,-0.6813466881762071,1544.74,140,180,160,1.6938385433375898,2.166685406300104,0.00878404813040512,2.27078195024487,0.7398698250992473,5.42,-6.888174092840588,2.964491618782524,-3.1033408226800785,-7.379053546790937,1.7924898652986454,26.60909988,67.12701236,1761.07115,1.5109610920603633,N
1.081728152,7,1,6,7-1-6,7-1,47517,Grassland,Yukon Gold,mid-season,100,16.967478546295613,282.52,-0.6813466881762071,1544.74,175,180,160,1.6938385433375898,2.166685406300104,0.00878404813040512,2.27078195024487,0.7398698250992473,5.42,-6.888174092840588,2.964491618782524,-3.1033408226800785,-7.379053546790937,1.7924898652986454,26.60909988,67.12701236,1761.07115,1.5109610920603633,N
1.077955962,8,1,1,8-1-1,8-1,35255,Grassland,Estima,mid-season,113,16.572462931909513,321.24,-0.6914541691456533,1680.9,0,180,160,1.7509275903348596,2.743383750928131,0.13129498077873447,0.15678828600072048,0.12460594158082057,5.728999999999999,-6.530748891373154,2.019649750517228,-3.2890252195066196,-6.954961162283523,2.505570405072589,80.43268402,76.53012165,1399.173074,5.7485871844329095,N
1.084312428,8,1,2,8-1-2,8-1,35255,Grassland,Estima,mid-season,113,16.572462931909513,321.24,-0.6914541691456533,1680.9,35,180,160,1.7509275903348596,2.743383750928131,0.13129498077873447,0.15678828600072048,0.12460594158082057,5.728999999999999,-6.530748891373154,2.019649750517228,-3.2890252195066196,-6.954961162283523,2.505570405072589,80.43268402,76.53012165,1399.173074,5.7485871844329095,N
1.084759681,8,1,3,8-1-3,8-1,35255,Grassland,Estima,mid-season,113,16.572462931909513,321.24,-0.6914541691456533,1680.9,70,180,160,1.7509275903348596,2.743383750928131,0.13129498077873447,0.15678828600072048,0.12460594158082057,5.728999999999999,-6.530748891373154,2.019649750517228,-3.2890252195066196,-6.954961162283523,2.505570405072589,80.43268402,76.53012165,1399.173074,5.7485871844329095,N
1.084521631,8,1,4,8-1-4,8-1,35255,Grassland,Estima,mid-season,113,16.572462931909513,321.24,-0.6914541691456533,1680.9,105,180,160,1.7509275903348596,2.743383750928131,0.13129498077873447,0.15678828600072048,0.12460594158082057,5.728999999999999,-6.530748891373154,2.019649750517228,-3.2890252195066196,-6.954961162283523,2.505570405072589,80.43268402,76.53012165,1399.173074,5.7485871844329095,N
1.082127544,8,1,5,8-1-5,8-1,35255,Grassland,Estima,mid-season,113,16.572462931909513,321.24,-0.6914541691456533,1680.9,140,180,160,1.7509275903348596,2.743383750928131,0.13129498077873447,0.15678828600072048,0.12460594158082057,5.728999999999999,-6.530748891373154,2.019649750517228,-3.2890252195066196,-6.954961162283523,2.505570405072589,80.43268402,76.53012165,1399.173074,5.7485871844329095,N
1.078300743,8,1,6,8-1-6,8-1,35255,Grassland,Estima,mid-season,113,16.572462931909513,321.24,-0.6914541691456533,1680.9,175,180,160,1.7509275903348596,2.743383750928131,0.13129498077873447,0.15678828600072048,0.12460594158082057,5.728999999999999,-6.530748891373154,2.019649750517228,-3.2890252195066196,-6.954961162283523,2.505570405072589,80.43268402,76.53012165,1399.173074,5.7485871844329095,N
1.078455705,9,1,1,9-1-1,9-1,47517,Grassland,Andover,early mid-season,98,17.05587798315356,281.04,-0.6813898605021278,1522.24,0,180,160,1.8381793621427063,2.145361660953637,0.3247393814402658,2.27078195024487,0.7398698250992473,6.038,-6.867472583675522,2.7238660797064393,-3.3570195888458914,-7.324380930666711,2.0249416310075086,32.36206645,52.36359299,1524.032864,2.1234493831755064,N
1.086447297,9,1,2,9-1-2,9-1,47517,Grassland,Andover,early mid-season,98,17.05587798315356,281.04,-0.6813898605021278,1522.24,35,180,160,1.8381793621427063,2.145361660953637,0.3247393814402658,2.27078195024487,0.7398698250992473,6.038,-6.867472583675522,2.7238660797064393,-3.3570195888458914,-7.324380930666711,2.0249416310075086,32.36206645,52.36359299,1524.032864,2.1234493831755064,N
1.082766149,9,1,3,9-1-3,9-1,47517,Grassland,Andover,early mid-season,98,17.05587798315356,281.04,-0.6813898605021278,1522.24,70,180,160,1.8381793621427063,2.145361660953637,0.3247393814402658,2.27078195024487,0.7398698250992473,6.038,-6.867472583675522,2.7238660797064393,-3.3570195888458914,-7.324380930666711,2.0249416310075086,32.36206645,52.36359299,1524.032864,2.1234493831755064,N
1.0798474,9,1,4,9-1-4,9-1,47517,Grassland,Andover,early mid-season,98,17.05587798315356,281.04,-0.6813898605021278,1522.24,105,180,160,1.8381793621427063,2.145361660953637,0.3247393814402658,2.27078195024487,0.7398698250992473,6.038,-6.867472583675522,2.7238660797064393,-3.3570195888458914,-7.324380930666711,2.0249416310075086,32.36206645,52.36359299,1524.032864,2.1234493831755064,N
1.080788279,9,1,5,9-1-5,9-1,47517,Grassland,Andover,early mid-season,98,17.05587798315356,281.04,-0.6813898605021278,1522.24,140,180,160,1.8381793621427063,2.145361660953637,0.3247393814402658,2.27078195024487,0.7398698250992473,6.038,-6.867472583675522,2.7238660797064393,-3.3570195888458914,-7.324380930666711,2.0249416310075086,32.36206645,52.36359299,1524.032864,2.1234493831755064,N
1.079329575,9,1,6,9-1-6,9-1,47517,Grassland,Andover,early mid-season,98,17.05587798315356,281.04,-0.6813898605021278,1522.24,175,180,160,1.8381793621427063,2.145361660953637,0.3247393814402658,2.27078195024487,0.7398698250992473,6.038,-6.867472583675522,2.7238660797064393,-3.3570195888458914,-7.324380930666711,2.0249416310075086,32.36206645,52.36359299,1524.032864,2.1234493831755064,N
1.073,10,1,1,10-1-1,10-1,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,0,190,270,1.5457973934519886,0.4181185278229426,1.8522639532357237,-1.6467452719025673,1.9996269694013913,5.286100000000001,-6.4140922162500384,2.3141624051225715,-2.9655562009004424,-7.3110257650048505,1.5226459627149813,75.298488,83.2,1986.6,3.7903195409241928,N
1.07,10,1,2,10-1-2,10-1,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,70,190,270,1.5457973934519886,0.4181185278229426,1.8522639532357237,-1.6467452719025673,1.9996269694013913,5.286100000000001,-6.4140922162500384,2.3141624051225715,-2.9655562009004424,-7.3110257650048505,1.5226459627149813,75.298488,83.2,1986.6,3.7903195409241928,N
1.079,10,1,3,10-1-3,10-1,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,100,190,270,1.5457973934519886,0.4181185278229426,1.8522639532357237,-1.6467452719025673,1.9996269694013913,5.286100000000001,-6.4140922162500384,2.3141624051225715,-2.9655562009004424,-7.3110257650048505,1.5226459627149813,75.298488,83.2,1986.6,3.7903195409241928,N
1.074,10,1,4,10-1-4,10-1,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,130,190,270,1.5457973934519886,0.4181185278229426,1.8522639532357237,-1.6467452719025673,1.9996269694013913,5.286100000000001,-6.4140922162500384,2.3141624051225715,-2.9655562009004424,-7.3110257650048505,1.5226459627149813,75.298488,83.2,1986.6,3.7903195409241928,N
1.069,10,1,5,10-1-5,10-1,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,160,190,270,1.5457973934519886,0.4181185278229426,1.8522639532357237,-1.6467452719025673,1.9996269694013913,5.286100000000001,-6.4140922162500384,2.3141624051225715,-2.9655562009004424,-7.3110257650048505,1.5226459627149813,75.298488,83.2,1986.6,3.7903195409241928,N
1.066,10,1,6,10-1-6,10-1,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,190,190,270,1.5457973934519886,0.4181185278229426,1.8522639532357237,-1.6467452719025673,1.9996269694013913,5.286100000000001,-6.4140922162500384,2.3141624051225715,-2.9655562009004424,-7.3110257650048505,1.5226459627149813,75.298488,83.2,1986.6,3.7903195409241928,N
1.072,10,1,7,10-1-7,10-1,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,220,190,270,1.5457973934519886,0.4181185278229426,1.8522639532357237,-1.6467452719025673,1.9996269694013913,5.286100000000001,-6.4140922162500384,2.3141624051225715,-2.9655562009004424,-7.3110257650048505,1.5226459627149813,75.298488,83.2,1986.6,3.7903195409241928,N
1.075,10,1,8,10-1-8,10-1,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,250,190,270,1.5457973934519886,0.4181185278229426,1.8522639532357237,-1.6467452719025673,1.9996269694013913,5.286100000000001,-6.4140922162500384,2.3141624051225715,-2.9655562009004424,-7.3110257650048505,1.5226459627149813,75.298488,83.2,1986.6,3.7903195409241928,N
1.078,10,1,9,10-1-9,10-1,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,190,190,270,1.5457973934519886,0.4181185278229426,1.8522639532357237,-1.6467452719025673,1.9996269694013913,5.286100000000001,-6.4140922162500384,2.3141624051225715,-2.9655562009004424,-7.3110257650048505,1.5226459627149813,75.298488,83.2,1986.6,3.7903195409241928,N
1.079,10,1,10,10-1-10,10-1,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,220,190,270,1.5457973934519886,0.4181185278229426,1.8522639532357237,-1.6467452719025673,1.9996269694013913,5.286100000000001,-6.4140922162500384,2.3141624051225715,-2.9655562009004424,-7.3110257650048505,1.5226459627149813,75.298488,83.2,1986.6,3.7903195409241928,N
1.083,10,1,11,10-1-11,10-1,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,250,190,270,1.5457973934519886,0.4181185278229426,1.8522639532357237,-1.6467452719025673,1.9996269694013913,5.286100000000001,-6.4140922162500384,2.3141624051225715,-2.9655562009004424,-7.3110257650048505,1.5226459627149813,75.298488,83.2,1986.6,3.7903195409241928,N
1.074,10,2,1,10-2-1,10-2,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,0,190,270,1.7308080101474264,0.4181185278229428,1.8522639532357235,-1.6467452719025673,1.9996269694013913,5.471500000000001,-6.252687500742826,2.049199082733267,-3.0202333655394016,-7.663272910883571,1.0476526179242938,110.657632,58.6,2007.1,5.513309351801107,N
1.074,10,2,2,10-2-2,10-2,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,70,190,270,1.7308080101474264,0.4181185278229428,1.8522639532357235,-1.6467452719025673,1.9996269694013913,5.471500000000001,-6.252687500742826,2.049199082733267,-3.0202333655394016,-7.663272910883571,1.0476526179242938,110.657632,58.6,2007.1,5.513309351801107,N
1.075,10,2,3,10-2-3,10-2,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,100,190,270,1.7308080101474264,0.4181185278229428,1.8522639532357235,-1.6467452719025673,1.9996269694013913,5.471500000000001,-6.252687500742826,2.049199082733267,-3.0202333655394016,-7.663272910883571,1.0476526179242938,110.657632,58.6,2007.1,5.513309351801107,N
1.082,10,2,4,10-2-4,10-2,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,130,190,270,1.7308080101474264,0.4181185278229428,1.8522639532357235,-1.6467452719025673,1.9996269694013913,5.471500000000001,-6.252687500742826,2.049199082733267,-3.0202333655394016,-7.663272910883571,1.0476526179242938,110.657632,58.6,2007.1,5.513309351801107,N
1.073,10,2,5,10-2-5,10-2,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,160,190,270,1.7308080101474264,0.4181185278229428,1.8522639532357235,-1.6467452719025673,1.9996269694013913,5.471500000000001,-6.252687500742826,2.049199082733267,-3.0202333655394016,-7.663272910883571,1.0476526179242938,110.657632,58.6,2007.1,5.513309351801107,N
1.07,10,2,6,10-2-6,10-2,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,190,190,270,1.7308080101474264,0.4181185278229428,1.8522639532357235,-1.6467452719025673,1.9996269694013913,5.471500000000001,-6.252687500742826,2.049199082733267,-3.0202333655394016,-7.663272910883571,1.0476526179242938,110.657632,58.6,2007.1,5.513309351801107,N
1.085,10,2,7,10-2-7,10-2,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,220,190,270,1.7308080101474264,0.4181185278229428,1.8522639532357235,-1.6467452719025673,1.9996269694013913,5.471500000000001,-6.252687500742826,2.049199082733267,-3.0202333655394016,-7.663272910883571,1.0476526179242938,110.657632,58.6,2007.1,5.513309351801107,N
1.078,10,2,8,10-2-8,10-2,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,250,190,270,1.7308080101474264,0.4181185278229428,1.8522639532357235,-1.6467452719025673,1.9996269694013913,5.471500000000001,-6.252687500742826,2.049199082733267,-3.0202333655394016,-7.663272910883571,1.0476526179242938,110.657632,58.6,2007.1,5.513309351801107,N
1.071,10,2,9,10-2-9,10-2,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,190,190,270,1.7308080101474264,0.4181185278229428,1.8522639532357235,-1.6467452719025673,1.9996269694013913,5.471500000000001,-6.252687500742826,2.049199082733267,-3.0202333655394016,-7.663272910883571,1.0476526179242938,110.657632,58.6,2007.1,5.513309351801107,N
1.07,10,2,10,10-2-10,10-2,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,220,190,270,1.7308080101474264,0.4181185278229428,1.8522639532357235,-1.6467452719025673,1.9996269694013913,5.471500000000001,-6.252687500742826,2.049199082733267,-3.0202333655394016,-7.663272910883571,1.0476526179242938,110.657632,58.6,2007.1,5.513309351801107,N
1.072,10,2,11,10-2-11,10-2,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,250,190,270,1.7308080101474264,0.4181185278229428,1.8522639532357235,-1.6467452719025673,1.9996269694013913,5.471500000000001,-6.252687500742826,2.049199082733267,-3.0202333655394016,-7.663272910883571,1.0476526179242938,110.657632,58.6,2007.1,5.513309351801107,N
1.073,10,3,1,10-3-1,10-3,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,0,190,270,1.5440135021507786,0.4181185278229429,1.852263953235724,-1.6467452719025673,1.9996269694013913,5.2552,-6.438508134713245,2.3679535938136143,-2.3486366707249045,-7.519433400463174,1.0685405685571416,70.351872,143.1,2002.8,3.512675853804674,N
1.075,10,3,2,10-3-2,10-3,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,70,190,270,1.5440135021507786,0.4181185278229429,1.852263953235724,-1.6467452719025673,1.9996269694013913,5.2552,-6.438508134713245,2.3679535938136143,-2.3486366707249045,-7.519433400463174,1.0685405685571416,70.351872,143.1,2002.8,3.512675853804674,N
1.073,10,3,3,10-3-3,10-3,31226,HRC,Goldrush,mid-season,125,16.490862114449246,373.56,-0.7289243020221379,1940.44,100,190,270,1.5440135021507786,0.4181185278229429,1.852263953235724,-1.6467452719025673,1.9996269694013913,5.2552,-6.438508134713245,2.3679535938136143,-2.3486366707249045,-7.519433400463174,1.0685405685571416,70.351872,143.1,2002.8,3.512675853804674,N
